run_id,original_length,assembled_length,length_difference,optimization_time
1,50000,50110,110,84.72563242912292
2,50000,50135,135,85.81116390228271
3,50000,50108,108,87.4943904876709
4,50000,50118,118,82.42823958396912
5,50000,50064,64,84.73045420646667
6,50000,50228,228,79.61732029914856
7,50000,50000,0,85.66188621520996
8,50000,50113,113,83.42127561569214
9,50000,50000,0,82.41144108772278
10,50000,50150,150,78.1593279838562
11,50000,50000,0,78.325838804245
12,50000,50042,42,84.12098956108093
13,50000,50127,127,83.11657547950745
14,50000,50123,123,87.98691082000732
15,50000,50000,0,81.4594407081604
16,50000,50000,0,82.07540535926819
17,50000,50000,0,90.03214597702026
18,50000,50099,99,86.59088444709778
19,50000,50030,30,80.6740210056305
20,50000,50032,32,78.49537968635559
